Datasheet|Image|DK Part #|Mfr Part #|Mfr|Supplier|Description|Stock|Price|@ qty|Min Qty| Package|Series|Part Status|Transistor Type|Current - Collector (Ic) (Max)|Voltage - Collector Emitter Breakdown (Max)|"Vce Saturation (Max) @ Ib, Ic"|Current - Collector Cutoff (Max)|"DC Current Gain (hFE) (Min) @ Ic, Vce"|Power - Max|Frequency - Transition|Operating Temperature|Mounting Type|Package / Case|Supplier Device Package
https://rocelec.widen.net/view/pdf/u9jipuqncs/PHGLS30472-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Photos/Rochester/MFG_2SJ586CPTL-E.jpg|"2156-BC847CW,135-ND"|"BC847CW,135"|NXP USA Inc.|"Rochester Electronics, LLC"|NOW NEXPERIA BC847CW - SMALL SIG|0|0.02|0|12500|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"400mV @ 5mA, 100mA"|15nA (ICBO)|"420 @ 2mA, 5V"|200 mW|100MHz|150°C (TJ)|Surface Mount|"SC-70, SOT-323"|SOT-323
-|-|2156-BC857CM315-ND|BC857CM315|NXP USA Inc.|"Rochester Electronics, LLC"|NOW NEXPERIA BC857CM|0|0.01778|0|8750|Bulk|"Automotive, AEC-Q101"|Active|PNP|100 mA|45 V|"400mV @ 5mA, 100mA"|15nA (ICBO)|"420 @ 2mA, 5V"|150 mW|100MHz|150°C (TJ)|Surface Mount|"SC-101, SOT-883"|SOT-883
https://rocelec.widen.net/view/pdf/d0ykhjtm0h/PHGLS15887-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Photos/Rochester/MFG_SZMMBZ5232BLT1G.jpg|"2156-2PD601ASL,235-1727-ND"|"2PD601ASL,235"|Nexperia USA Inc.|"Rochester Electronics, LLC"|NEXPERIA 2PD601ASL - SMALL SIGNA|0|Active|0|0|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|50 V|"250mV @ 10mA, 100mA"|10nA (ICBO)|"290 @ 2mA, 10V"|250 mW|100MHz|150°C (TJ)|Surface Mount|"TO-236-3, SC-59, SOT-23-3"|TO-236AB
https://rocelec.widen.net/view/pdf/cvo4ellts4/PHGLS24394-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Photos/Rochester/MFG_BC848BL3E6327XTMA1.jpg|"2156-2PA1774RMB,315-1727-ND"|"2PA1774RMB,315"|Nexperia USA Inc.|"Rochester Electronics, LLC"|NEXPERIA 2PA1774RMB - SMALL SIGN|0|Active|0|0|Bulk|"Automotive, AEC-Q101"|Active|PNP|100 mA|40 V|"200mV @ 5mA, 50mA"|100nA (ICBO)|"180 @ 1mA, 6V"|250 mW|100MHz|150°C (TJ)|Surface Mount|"SC-101, SOT-883"|SOT-883
https://assets.nexperia.com/documents/data-sheet/BC856_BC857_BC858.pdf|//media.digikey.com/Photos/Rochester/MFG_SZMMBZ5232BLT1G.jpg|"2156-BC857B,215-954-ND"|"BC857B,215"|NXP Semiconductors|"Rochester Electronics, LLC"|NEXPERIA BC857B - SMALL SIGNAL B|0|0.02|0|900|Bulk|"Automotive, AEC-Q101"|Active|PNP|100 mA|45 V|"650mV @ 5mA, 100mA"|15nA (ICBO)|"220 @ 2mA, 5V"|250 mW|100MHz|150°C (TJ)|Surface Mount|"TO-236-3, SC-59, SOT-23-3"|TO-236AB
https://assets.nexperia.com/documents/data-sheet/BC856_BC857_BC858.pdf|//media.digikey.com/Photos/Rochester/MFG_BC%2520860B%2520E6327.jpg|"2156-BC857B,215-ND"|"BC857B,215"|NXP USA Inc.|"Rochester Electronics, LLC"|NOW NEXPERIA BC857B - SMALL SIGN|0|0.02|0|12500|Bulk|"Automotive, AEC-Q101"|Active|PNP|100 mA|45 V|"650mV @ 5mA, 100mA"|15nA (ICBO)|"220 @ 2mA, 5V"|250 mW|100MHz|150°C (TJ)|Surface Mount|"TO-236-3, SC-59, SOT-23-3"|TO-236AB
https://rocelec.widen.net/view/pdf/u9jipuqncs/PHGLS30472-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Photos/Rochester/MFG_1SV246-TL-EX.jpg|"2156-BC847CW,115-954-ND"|"BC847CW,115"|NXP Semiconductors|"Rochester Electronics, LLC"|NEXPERIA BC847CW - SMALL SIGNAL|0|Active|0|0|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"400mV @ 5mA, 100mA"|15nA (ICBO)|"420 @ 2mA, 5V"|200 mW|100MHz|150°C (TJ)|Surface Mount|"SC-70, SOT-323"|SOT-323
-|-|2156-BC847AM315-ND|BC847AM315|NXP USA Inc.|"Rochester Electronics, LLC"|"45 V, 100MA NPN GENERAL PURPOSE"|0|0.01778|0|7250|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"400mV @ 5mA, 100mA"|15nA (ICBO)|"110 @ 2mA, 5V"|250 mW|100MHz|150°C (TJ)|Surface Mount|"SC-101, SOT-883"|SOT-883
https://rocelec.widen.net/view/pdf/k0imnxqa6s/PHGLS19402-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Photos/Rochester/MFG_SZMMBZ5232BLT1G.jpg|"2156-BCX70J,215-954-ND"|"BCX70J,215"|NXP Semiconductors|"Rochester Electronics, LLC"|NEXPERIA BCX70J - SMALL SIGNAL B|0|Active|0|0|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"550mV @ 1.25mA, 50mA"|20nA (ICBO)|"250 @ 2mA, 5V"|250 mW|250MHz|150°C (TJ)|Surface Mount|"TO-236-3, SC-59, SOT-23-3"|TO-236AB
https://assets.nexperia.com/documents/data-sheet/BC859W_860W.pdf|//media.digikey.com/Renders/Nexperia/1727~SOT323~~3.JPG|"1727-4878-2-ND,1727-4878-1-ND,1727-4878-6-ND,2156-BC860CW,115-NEX-ND"|"BC860CW,115"|Nexperia USA Inc.|"Nexperia USA Inc.,Rochester Electronics, LLC"|TRANS PNP 45V 100MA SOT323|0|0.2|0|1|"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®,Bulk"|"Automotive, AEC-Q101"|Active|PNP|100 mA|45 V|"650mV @ 5mA, 100mA"|15nA (ICBO)|"420 @ 2mA, 5V"|200 mW|100MHz|150°C (TJ)|Surface Mount|"SC-70, SOT-323"|SOT-323
https://assets.nexperia.com/documents/data-sheet/PZTA42.pdf|//media.digikey.com/Photos/Nexperia/MFG_SOT223.jpg|"1727-5242-2-ND,1727-5242-1-ND,1727-5242-6-ND"|"PZTA42,115"|Nexperia USA Inc.|Nexperia USA Inc.|TRANS NPN 300V 0.1A SOT223|0|0.49|0|1|"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®"|"Automotive, AEC-Q101"|Active|NPN|100 mA|300 V|"500mV @ 2mA, 20mA"|20nA (ICBO)|"40 @ 30mA, 10V"|1.2 W|50MHz|150°C (TJ)|Surface Mount|"TO-261-4, TO-261AA"|SOT-223
https://rocelec.widen.net/view/pdf/jgxo0qpz7d/PHGLS08627-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Renders/Nexperia/1727~SOT323~~3.JPG|"2156-BC858W,135-ND"|"BC858W,135"|NXP USA Inc.|"Rochester Electronics, LLC"|NOW NEXPERIA BC858W - SMALL SIGN|0|0.02|0|12500|Bulk|"Automotive, AEC-Q101"|Active|PNP|100 mA|30 V|"600mV @ 5mA, 100mA"|15nA (ICBO)|"125 @ 2mA, 5V"|200 mW|100MHz|150°C (TJ)|Surface Mount|"SC-70, SOT-323"|SOT-323
https://assets.nexperia.com/documents/data-sheet/BC847_SER.pdf|//media.digikey.com/Photos/Nexperia/MFG_SOT23.jpg|"1727-4240-2-ND,1727-4240-1-ND,1727-4240-6-ND"|"BC847A,215"|Nexperia USA Inc.|Nexperia USA Inc.|TRANS NPN 45V 100MA TO236AB|0|0.13|0|1|"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®"|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"400mV @ 5mA, 100mA"|15nA (ICBO)|"110 @ 2mA, 5V"|250 mW|100MHz|150°C (TJ)|Surface Mount|"TO-236-3, SC-59, SOT-23-3"|TO-236AB
-|//media.digikey.com/Photos/Rochester/MFG_2SK2552C-T1-A.jpg|2156-BC847T115-ND|"BC847T,115"|Nexperia USA Inc.|"Rochester Electronics, LLC"|"0.1A, 45V, NPN"|0|0.03|0|8334|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"400mV @ 5mA, 100mA"|15nA (ICBO)|"110 @ 2mA, 5V"|150 mW|100MHz|150°C (TJ)|Surface Mount|"SC-75, SOT-416"|SC-75
https://assets.nexperia.com/documents/data-sheet/MMBTA42.pdf|//media.digikey.com/Photos/Nexperia/MFG_SOT23.jpg|"1727-5049-2-ND,1727-5049-1-ND,1727-5049-6-ND"|"MMBTA42,215"|Nexperia USA Inc.|Nexperia USA Inc.|TRANS NPN 300V 0.1A SOT23|0|0.26|0|1|"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®"|"Automotive, AEC-Q101"|Active|NPN|100 mA|300 V|"500mV @ 2mA, 20mA"|100nA (ICBO)|"40 @ 30mA, 10V"|250 mW|50MHz|150°C (TJ)|Surface Mount|"TO-236-3, SC-59, SOT-23-3"|TO-236AB
https://assets.nexperia.com/documents/data-sheet/BC849W_850W.pdf|//media.digikey.com/Renders/Nexperia/1727~SOT323~~3.JPG|"2156-BC850BW,135-ND"|"BC850BW,135"|NXP Semiconductors|"Rochester Electronics, LLC"|NEXPERIA BC850BW - SMALL SIGNAL|0|0.02|0|10000|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"600mV @ 5mA, 100mA"|15nA (ICBO)|"200 @ 2mA, 5V"|200 mW|100MHz|150°C (TJ)|Surface Mount|"SC-70, SOT-323"|SOT-323
https://www.onsemi.com/pdf/datasheet/bc846awt1-d.pdf|//media.digikey.com/Renders/On%20Semi%20Renders/SC-70-3_419AB-01.jpg|"SBC847CWT1GOSTR-ND,SBC847CWT1GOSCT-ND,SBC847CWT1GOSDKR-ND"|SBC847CWT1G|onsemi|onsemi|TRANS NPN 45V 0.1A SOT-323|0|0.39|0|1|"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®"|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"600mV @ 5mA, 100mA"|15nA (ICBO)|"420 @ 2mA, 5V"|150 mW|100MHz|-55°C ~ 150°C (TJ)|Surface Mount|"SC-70, SOT-323"|SC-70-3 (SOT323)
https://rocelec.widen.net/view/pdf/8iuz3m4xp6/PHGLS19708-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Renders/Nexperia/1727~SOT323~~3.JPG|"2156-PMST6429,115-ND"|"PMST6429,115"|NXP USA Inc.|"Rochester Electronics, LLC"|NOW NEXPERIA PMST6429 - SMALL SI|0|0.02|0|12500|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"600mV @ 5mA, 100mA"|10nA (ICBO)|"500 @ 100µA, 5V"|200 mW|700MHz|150°C (TJ)|Surface Mount|"SC-70, SOT-323"|SOT-323
https://assets.nexperia.com/documents/data-sheet/BCV71_72.pdf|//media.digikey.com/Photos/Nexperia/MFG_SOT23.jpg|"1727-6205-2-ND,1727-6205-1-ND,1727-6205-6-ND"|"BCV71,215"|Nexperia USA Inc.|Nexperia USA Inc.|TRANS NPN 60V 100MA TO236AB|0|0.18|0|1|"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®"|"Automotive, AEC-Q101"|Active|NPN|100 mA|60 V|"210mV @ 2.5mA, 50mA"|100nA (ICBO)|"110 @ 2mA, 5V"|250 mW|100MHz|150°C (TJ)|Surface Mount|"TO-236-3, SC-59, SOT-23-3"|TO-236AB
https://rocelec.widen.net/view/pdf/docsaq2tqc/PHGLS19380-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Renders/Nexperia/1727~SOT323~~3.JPG|"2156-BC860BW,115-ND"|"BC860BW,115"|NXP USA Inc.|"Rochester Electronics, LLC"|NOW NEXPERIA BC860BW - SMALL SIG|0|0.02|0|12500|Bulk|"Automotive, AEC-Q101"|Active|PNP|100 mA|45 V|"650mV @ 5mA, 100mA"|15nA (ICBO)|"220 @ 2mA, 5V"|200 mW|100MHz|150°C (TJ)|Surface Mount|"SC-70, SOT-323"|SOT-323
